ticker,quarter,call_datetime,is_after_hours,day_0_date,lm_positive,lm_negative,lm_uncertainty,lm_net_sentiment,finbert_positive,finbert_negative,finbert_net_sentiment,qa_lm_positive,qa_lm_negative,qa_lm_net_sentiment,qa_lm_uncertainty,eps_surprise_pct,eps_beat,return_1d,return_5d,implied_move,realized_move,lm_net_sentiment_qoq,lm_uncertainty_qoq,finbert_net_sentiment_qoq,qa_lm_net_sentiment_qoq,qa_lm_uncertainty_qoq,label,signal,pnl,baseline_pnl
AAPL,2023-Q2,2023-05-04 16:00:00,True,2023-05-04,0.0137844611528822,0.0175438596491228,0.0225563909774436,-0.0037593984962406,0.242471233010292,0.0983318835496902,0.1441393494606018,0.0137844611528822,0.0175438596491228,-0.0037593984962406,0.0225563909774436,0.0637,1,0.0469270232505808,0.048012545220356,0.0147302595241101,0.0469270232505808,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.012196763726470699
AAPL,2023-Q3,2023-08-03 16:00:00,True,2023-08-03,0.0155440414507772,0.0168393782383419,0.0194300518134715,-0.0012953367875647,0.180321604013443,0.1048948466777801,0.0754267573356628,0.0155440414507772,0.0168393782383419,-0.0012953367875647,0.0194300518134715,0.0566,1,-0.0480201289124355,-0.0690485545484323,0.0117018918860587,0.0480201289124355,0.0024640617086759,-0.0031263391639721,-0.068712592124939,0.0024640617086758,-0.0031263391639721,1,1,0.0163182370263768,0.0163182370263768
AMD,2023-Q1,2023-01-31 16:00:00,True,2023-01-31,0.0132219902574808,0.0153096729297146,0.0205288796102992,-0.0020876826722338,0.2745824754238128,0.2596063911914825,0.0149760842323303,0.0132219902574808,0.0153096729297146,-0.0020876826722338,0.0205288796102992,0.0250999999999999,1,0.1262807407994732,0.1431803315735811,0.038543388000309,0.1262807407994732,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.06773735279916421
AMD,2023-Q2,2023-05-02 16:00:00,True,2023-05-02,0.0145951035781544,0.0225988700564971,0.025894538606403,-0.0080037664783427,0.2665510475635528,0.0818574652075767,0.1846935823559761,0.0145951035781544,0.0225988700564971,-0.0080037664783427,0.025894538606403,0.065,1,-0.0922033208527271,0.0572794315061822,0.0232820270522064,0.0922033208527271,-0.0059160838061088,0.0053656589961037,0.1697174981236458,-0.0059160838061089,0.0053656589961037,1,1,0.048921293800520696,0.048921293800520696
AMD,2023-Q3,2023-08-01 16:00:00,True,2023-08-01,0.0150019739439399,0.0213185945519147,0.0213185945519147,-0.0063166206079747,0.2909194231033325,0.1188762262463569,0.1720431968569755,0.0150019739439399,0.0213185945519147,-0.0063166206079747,0.0213185945519147,0.0105,1,-0.070153062134737,-0.0371598229072184,0.026818900178786,0.070153062134737,0.0016871458703679,-0.0045759440544882,-0.0126503854990006,0.001687145870368,-0.0045759440544882,0,0,0.0,0.023334161955951
AMD,2023-Q4,2023-10-31 16:00:00,True,2023-10-31,0.0148844496670583,0.0164512338425381,0.0235017626321974,-0.0015667841754798,0.3282274305820465,0.1020514219999313,0.2261760085821151,0.0148844496670583,0.0164512338425381,-0.0015667841754798,0.0235017626321974,0.0359,1,0.0968528011728664,0.1517766187638802,0.0311121672982326,0.0968528011728664,0.0047498364324949,0.0021831680802827,0.0541328117251395,0.0047498364324949,0.0021831680802826,1,0,0.0,0.0457406338746338
AMD,2024-Q1,2024-01-30 16:00:00,True,2024-01-30,0.0143426294820717,0.0159362549800796,0.0207171314741035,-0.0015936254980079,0.2748929262161255,0.120026059448719,0.1548668667674064,0.0143426294820717,0.0159362549800796,-0.0015936254980079,0.0207171314741035,-0.0001,1,-0.0253980889177877,-0.024293808759109,0.0392061357748845,0.0253980889177877,-2.6841322528100035e-05,-0.0027846311580939,-0.0713091418147086,-2.6841322528139283e-05,-0.0027846311580938,0,0,0.0,-0.02
AMD,2024-Q2,2024-04-30 16:00:00,True,2024-04-30,0.0163020163020163,0.024024024024024,0.0231660231660231,-0.0077220077220077,0.2832221984863281,0.1232084110379219,0.1600137874484062,0.0163020163020163,0.024024024024024,-0.0077220077220077,0.0231660231660231,0.0204,1,-0.0890895326136133,-0.0249400939844263,0.0344302155317997,0.0890895326136133,-0.0061283822239997,0.0024488916919195,0.0051469206809997,-0.0061283822239997,0.0024488916919195,1,1,0.03465931708181359,0.03465931708181359
AMD,2024-Q3,2024-07-30 16:00:00,True,2024-07-30,0.0130526315789473,0.0206315789473684,0.0227368421052631,-0.007578947368421,0.3053313195705414,0.1071231812238693,0.198208138346672,0.0130526315789473,0.0206315789473684,-0.007578947368421,0.0227368421052631,0.0126,1,0.0436289596909621,-0.0596649062406726,0.0401428663499061,0.0436289596909621,0.0001430603535866,-0.0004291810607599,0.0381943508982658,0.0001430603535866,-0.00042918106076,0,0,0.0,-0.016513906658944002
AMD,2024-Q4,2024-10-29 16:00:00,True,2024-10-29,0.0158399333055439,0.0133388912046686,0.0229262192580241,0.0025010421008753,0.2792898714542389,0.0918217673897743,0.1874681040644645,0.0158399333055439,0.0133388912046686,0.0025010421008753,0.0229262192580241,0.0046,1,-0.1061653768209586,-0.1479097524083646,0.0306454124607354,0.1061653768209586,0.0100799894692963,0.0001893771527609,-0.0107400342822074,0.0100799894692964,0.000189377152761,1,1,0.05551996436022319,0.05551996436022319
