ticker,quarter,call_datetime,is_after_hours,day_0_date,lm_positive,lm_negative,lm_uncertainty,lm_net_sentiment,finbert_positive,finbert_negative,finbert_net_sentiment,qa_lm_positive,qa_lm_negative,qa_lm_net_sentiment,qa_lm_uncertainty,eps_surprise_pct,eps_beat,return_1d,return_5d,implied_move,realized_move,lm_net_sentiment_qoq,lm_uncertainty_qoq,finbert_net_sentiment_qoq,qa_lm_net_sentiment_qoq,qa_lm_uncertainty_qoq,label
AAPL,2023-Q2,2023-05-04 16:00:00,True,2023-05-04,0.0137844611528822,0.0175438596491228,0.0225563909774436,-0.0037593984962406,0.242471233010292,0.0983318835496902,0.1441393494606018,0.013784461152882205,0.017543859649122806,-0.0037593984962406013,0.022556390977443608,0.0637,1,0.04692692988037876,0.04801263859055813,0.014730349330054172,0.04692692988037876,0.0,0.0,0.0,0.0,0.0,0
AAPL,2023-Q3,2023-08-03 16:00:00,True,2023-08-03,0.0155440414507772,0.0168393782383419,0.0194300518134715,-0.0012953367875647,0.180321604013443,0.1048948466777801,0.0754267573356628,0.015544041450777202,0.01683937823834197,-0.001295336787564768,0.019430051813471502,0.0566,1,-0.048019813228878376,-0.0690483231280939,0.011701964978603804,0.048019813228878376,0.0024640617086759,-0.003126339163972102,-0.068712592124939,0.0024640617086758333,-0.0031263391639721055,1
AMD,2023-Q1,2023-01-31 16:00:00,True,2023-01-31,0.0132219902574808,0.0153096729297146,0.0205288796102992,-0.0020876826722338,0.2745824754238128,0.2596063911914825,0.0149760842323303,0.013221990257480862,0.015309672929714684,-0.002087682672233821,0.020528879610299235,0.0250999999999999,1,0.1262807407994732,0.14318033157358112,0.03854338800030908,0.1262807407994732,0.0,0.0,0.0,0.0,0.0,1
AMD,2023-Q2,2023-05-02 16:00:00,True,2023-05-02,0.0145951035781544,0.0225988700564971,0.025894538606403,-0.0080037664783427,0.2665510475635528,0.0818574652075767,0.1846935823559761,0.014595103578154425,0.022598870056497175,-0.00800376647834275,0.025894538606403013,0.065,1,-0.09220332085272714,0.05727943150618225,0.023282027052206465,0.09220332085272714,-0.005916083806108899,0.005365658996103799,0.1697174981236458,-0.005916083806108929,0.005365658996103778,1
AMD,2023-Q3,2023-08-01 16:00:00,True,2023-08-01,0.0150019739439399,0.0213185945519147,0.0213185945519147,-0.0063166206079747,0.2909194231033325,0.1188762262463569,0.1720431968569755,0.015001973943939992,0.021318594551914725,-0.006316620607974733,0.021318594551914725,0.0105,1,-0.07015306213473706,-0.037159822907218455,0.026818900178786048,0.07015306213473706,0.0016871458703679992,-0.004575944054488298,-0.012650385499000605,0.0016871458703680165,-0.004575944054488287,0
AMD,2023-Q4,2023-10-31 16:00:00,True,2023-10-31,0.0148844496670583,0.0164512338425381,0.0235017626321974,-0.0015667841754798,0.3282274305820465,0.1020514219999313,0.2261760085821151,0.014884449667058363,0.01645123384253819,-0.0015667841754798285,0.023501762632197415,0.0359,1,0.09685280117286643,0.1517766187638802,0.031112167298232657,0.09685280117286643,0.0047498364324949005,0.0021831680802827,0.05413281172513959,0.004749836432494905,0.0021831680802826894,1
AMD,2024-Q1,2024-01-30 16:00:00,True,2024-01-30,0.0143426294820717,0.0159362549800796,0.0207171314741035,-0.0015936254980079,0.2748929262161255,0.120026059448719,0.1548668667674064,0.014342629482071713,0.01593625498007968,-0.0015936254980079678,0.020717131474103586,-0.0001,1,-0.02539808891778771,-0.02429380875910907,0.03920613577488456,0.02539808891778771,-2.6841322528100035e-05,-0.0027846311580939018,-0.07130914181470868,-2.6841322528139283e-05,-0.002784631158093829,0
AMD,2024-Q2,2024-04-30 16:00:00,True,2024-04-30,0.0163020163020163,0.024024024024024,0.0231660231660231,-0.0077220077220077,0.2832221984863281,0.1232084110379219,0.1600137874484062,0.016302016302016303,0.024024024024024024,-0.0077220077220077205,0.023166023166023165,0.0204,1,-0.08908953261361333,-0.024940093984426363,0.03443021553179972,0.08908953261361333,-0.0061283822239997995,0.0024488916919195997,0.005146920680999784,-0.006128382223999753,0.002448891691919579,1
AMD,2024-Q3,2024-07-30 16:00:00,True,2024-07-30,0.0130526315789473,0.0206315789473684,0.0227368421052631,-0.007578947368421,0.3053313195705414,0.1071231812238693,0.198208138346672,0.013052631578947368,0.02063157894736842,-0.007578947368421053,0.02273684210526316,0.0126,1,0.04362895969096213,-0.05966490624067267,0.04014286634990617,0.04362895969096213,0.0001430603535866994,-0.00042918106075999843,0.03819435089826581,0.0001430603535866673,-0.00042918106076000537,0
AMD,2024-Q4,2024-10-29 16:00:00,True,2024-10-29,0.0158399333055439,0.0133388912046686,0.0229262192580241,0.0025010421008753,0.2792898714542389,0.0918217673897743,0.1874681040644645,0.015839933305543976,0.013338891204668612,0.002501042100875364,0.022926219258024176,0.0046,1,-0.10616537682095864,-0.14790975240836465,0.03064541246073546,0.10616537682095864,0.0100799894692963,0.00018937715276099928,-0.010740034282207489,0.010079989469296417,0.00018937715276101663,1
