Date,Close,High,Low,Open,Volume
2022-10-03,274.1894836425781,276.09594803658825,266.81117162079374,272.3747090030145,1938800
2022-10-04,288.597900390625,288.8637112282967,280.35801616409765,281.2012376217902,2399500
2022-10-05,283.2176818847656,284.3267141663436,278.26825226161293,280.9995893503548,1992800
2022-10-06,279.2489929199219,283.29100724735537,278.10329027192336,281.7420430008169,1367400
2022-10-07,275.9584655761719,279.68887950657637,274.1895076874548,278.63483883549503,1790100
2022-10-10,275.4635925292969,279.2948155494584,273.529631874869,278.29576617652197,1309600
2022-10-11,269.6617736816406,277.2784037962662,269.3959907665347,273.14472703946785,2392800
2022-10-12,270.6698913574219,274.7669241527142,267.370262936507,269.46002294121155,1763800
2022-10-13,281.44873046875,282.99772265384695,263.7407440019797,266.1879771137988,2724900
2022-10-14,274.9594421386719,285.6190633218647,274.1162207113301,281.80616181360176,2397600
2022-10-17,281.1187438964844,285.6190670045481,278.7632006411166,279.0106623296948,3118600
2022-10-18,287.66302490234375,297.4060846437795,285.9673793981994,294.83054734266926,6428600
2022-10-19,285.7474060058594,288.52458801851037,282.35611508582116,286.52646140501895,2363800
2022-10-20,284.876708984375,289.6794861949041,283.2177335594782,286.05908211177024,2382300
2022-10-21,297.9743957519531,298.5884768010761,283.66684435558517,285.0508623163489,3545700
2022-10-24,301.27398681640625,303.6020345143234,298.6617791213349,301.0906631997758,2232600
2022-10-25,304.665283203125,305.7651690804281,298.7259777852156,300.50408279854867,1837700
2022-10-26,307.6807556152344,310.4121209384396,306.26009544702384,306.60836557410374,2176700
2022-10-27,309.0464172363281,313.40008742364586,308.4506574365255,310.99869907993696,1998800
2022-10-28,313.29925537109375,313.99582352804407,307.9648573784024,310.2745837390887,1677100
2022-10-31,315.7648010253906,317.2954439860989,312.1535443080703,312.6118253334028,2224000
2022-11-01,319.4952087402344,319.59604511762217,315.08654721857147,316.3330862361264,2316600
2022-11-02,320.6042175292969,327.6159109664217,317.8086867536449,318.61526575814446,3221200
2022-11-03,319.7610168457031,321.41084541616533,314.005007949658,318.5053312382367,2515600
2022-11-04,328.0467224121094,328.47750768886544,321.9240947107174,324.4629614865968,3172700
2022-11-07,332.3087463378906,332.67536557657826,328.6058276932589,329.97152421640874,2526900
2022-11-08,333.64691162109375,336.5524256639538,331.30051498090745,332.0704237561635,3501300
2022-11-09,331.79541015625,336.5156983805213,330.7688652963599,332.6661551559334,3047200
2022-11-10,346.7445983886719,348.6877055236645,338.88965464676363,339.12796973846247,3790400
2022-11-11,353.0322265625,354.70952285157784,347.1478857365248,348.2935883297147,3409100
2022-11-14,350.4566345214844,354.9844530602139,348.75184261976773,351.959809634667,2609100
2022-11-15,350.9333190917969,357.07426868997106,348.8893754356563,353.7746673399106,3192400
2022-11-16,350.42913818359375,353.24299024497253,348.3027355954898,351.23571722136705,2303700
2022-11-17,348.0919494628906,349.8700821554032,343.7199583627207,345.6813866905021,2297600
2022-11-18,347.56036376953125,350.88746073746626,345.90138858589296,349.4668006535514,2384500
2022-11-21,348.4860534667969,348.9993259833831,344.0957413328273,347.2853594042911,1877500
2022-11-22,351.8406677246094,353.6371215007861,349.57675835470025,349.57675835470025,2019400
2022-11-23,354.0220642089844,355.8093712556276,351.4190315464964,351.86813796517777,1865400
2022-11-25,356.414306640625,356.94592829547196,353.0413649973871,353.57298665223414,1129300
2022-11-28,350.4566345214844,355.98353025955623,349.10931522762917,353.2704865876538,2232200
2022-11-29,351.69403076171875,352.81223762731594,347.6153462551079,349.3293128833274,1746900
2022-11-30,356.25152587890625,356.25152587890625,346.0571064190844,352.88414036647805,2964100
2022-12-01,354.09271240234375,356.57443582514503,350.99288088587764,356.57443582514503,1706300
2022-12-02,351.1127624511719,352.90255603043784,349.1015603976673,351.97998318152503,1932300
2022-12-05,342.7727355957031,349.53518241561665,340.71538793835185,349.23995233699685,2329600
2022-12-06,334.8109436035156,341.69332974097347,332.4306896902946,340.87225447813057,3081900
2022-12-07,332.05242919921875,337.0158474320431,330.41945725224576,334.4234200021573,2128200
2022-12-08,330.35491943359375,334.51573257210487,328.4913321545162,333.99909395702014,1967800
2022-12-09,331.3328857421875,333.6393182770481,328.6297254137634,329.0910119207355,1588800
2022-12-12,335.0600280761719,335.82577937039315,328.7496326490193,330.8069804070394,1750400
2022-12-13,340.1434020996094,349.2491920468164,337.2096270576241,345.6234873352295,3062600
2022-12-14,332.476806640625,340.2725302940355,331.61882065124286,338.5934691124124,2519700
2022-12-15,322.7436828613281,328.5374398638492,321.0000346254528,327.0336696045875,3163700
2022-12-16,319.53314208984375,320.8524146315087,316.82077540498915,318.36145644184495,5008800
2022-12-19,317.92779541015625,321.4243541649567,316.1011193063206,319.4592696189747,1646700
2022-12-20,317.8171691894531,320.5203295231957,316.89459617369374,319.2010287130922,1623000
2022-12-21,323.048095703125,323.71234924670364,320.03129277649435,321.2952130103914,1923100
2022-12-22,318.8227233886719,321.10147952779,313.56407486703074,320.28040430527,1528900
2022-12-23,318.7581787109375,320.8339677816684,316.543981178405,318.14004246625575,1062000
2022-12-27,315.49224853515625,320.82471864920564,315.32619217407375,319.6807372888286,1035000
2022-12-28,314.4775085449219,316.30421353741605,313.029061926592,314.1361609804731,1117200
2022-12-29,316.8392028808594,317.95553635627215,314.8187659864692,315.9258647234221,1273600
2022-12-30,316.7930603027344,317.0790556253415,313.12121033340463,315.2800273595461,1031400
2023-01-03,319.4132385253906,321.60896686183867,316.26726108544636,318.7489848114626,1589700
2023-01-04,320.77862548828125,323.18652736986144,318.36146071302164,321.08306217325304,1881000
2023-01-05,317.1436462402344,318.41680125516143,313.8039370878538,317.5956979191302,1397800
2023-01-06,321.1291198730469,321.97789921606255,314.55119962209403,320.4095142330781,3097800
2023-01-09,325.66827392578125,328.89727947462046,322.43926837694204,324.6349966549038,1989000
2023-01-10,329.6906433105469,329.8198170328674,323.3618066294266,325.3361261813016,1610100
2023-01-11,336.2594299316406,337.2004442916482,328.6297329132053,331.0837805648625,2127000
2023-01-12,341.296630859375,341.44424590625476,334.49727289228264,337.88309976767226,2103100
2023-01-13,345.042236328125,345.365142447605,334.3034751377801,335.3459869341098,3310200
2023-01-17,322.82672119140625,338.39052149207527,317.36507724151176,336.5545822779595,14448300
