Date,Close,High,Low,Open,Volume
2022-10-03,137.53073120117188,138.53286151227974,135.04028045219258,136.0721759608596,27723100
2022-10-04,139.18772888183594,141.28130027797047,138.25504563332407,139.3961004088353,34670700
2022-10-05,137.89784240722656,139.11827604059891,133.73054829955544,137.1636140300522,27979300
2022-10-06,137.98715209960938,140.3486101635324,135.5363833056393,136.64765768866192,36231100
2022-10-07,132.41090393066406,137.21321419500794,131.4087736296269,135.695128574833,33214800
2022-10-10,132.74827575683594,135.05021900736446,130.8432271046645,132.51015413780254,24024000
2022-10-11,127.53911590576172,131.62704579778315,126.00118953146871,130.5951352852432,38481400
2022-10-12,126.50724029541016,128.6603420977581,125.26697323369045,127.3208627550881,34605200
2022-10-13,129.27552795410156,130.11891573104978,121.57595439906237,122.5681681884222,34325700
2022-10-14,125.77299499511719,130.76382050048636,125.53485828651976,129.9799784371502,23559400
2022-10-17,132.99630737304688,133.74046759034007,129.1663621824455,129.2854381123977,29612200
2022-10-18,131.7659912109375,136.76674193219262,130.37688285393622,136.02258160736426,25445000
2022-10-19,132.192626953125,135.9332768396588,131.19049656696248,131.85527792886984,30691000
2022-10-20,130.50587463378906,135.70508018627078,130.28758639540368,131.8949678417137,26356300
2022-10-21,128.99769592285156,129.10684003395843,124.46328724863885,125.32650831104277,46348600
2022-10-24,128.7099609375,132.440678957435,123.60005892557997,126.25919191467688,63563400
2022-10-25,136.43930053710938,137.27277155210777,129.5731835448493,129.8609339964498,38433200
2022-10-26,128.80917358398438,134.49455312999504,127.5292095937446,130.65467629925334,82791500
2022-10-27,97.17740631103516,101.70189808643511,95.62954788524887,97.21709576502857,232316600
2022-10-28,98.4275894165039,100.06474342579838,96.75075352345948,98.80463544203202,95928300
2022-10-31,92.43462371826172,98.54665563117554,91.87897894800474,97.45522217208263,121361400
2022-11-01,94.458740234375,96.73091049225727,92.82159370231095,93.59551916910262,110189600
2022-11-02,89.83503723144531,94.45874954494421,89.7755068265904,93.47646001488596,71821100
2022-11-03,88.21772003173828,89.75564666078411,87.7216132023707,89.37860819566096,60664000
2022-11-04,90.08308410644531,90.67841082153454,87.40410253355893,89.64650764938459,55638100
2022-11-07,95.9668960571289,96.12564628921443,92.37508027008157,94.04199934191713,81987300
2022-11-08,95.71884155273438,97.03848737963055,94.05192250033619,95.17312107695368,52088300
2022-11-09,100.679931640625,104.08322514706049,99.95561226357442,100.92798508112324,107677300
2022-11-10,110.99893951416016,111.87208476763833,103.79546657050064,106.28592485654346,80671000
2022-11-11,112.13998413085938,114.00535064993957,107.96276554524319,108.37950103418012,59961700
2022-11-14,113.33062744140625,115.36466057908345,109.93725908041222,110.12577449825304,53395000
