Date,Close,High,Low,Open,Volume
2022-10-03,482.7638854980469,484.9177739240669,473.2960760453221,474.8693525606261,2562400
2022-10-04,489.9372863769531,491.26712658153133,484.0000465673443,485.42345457106694,3189800
2022-10-05,493.5895080566406,495.7246483549849,487.0903479007518,487.9050792569986,2281800
2022-10-06,486.15386962890625,495.0035989053439,483.91567330259306,494.76947938563967,2187300
2022-10-07,472.7810363769531,481.50899169116826,469.2317759113045,481.50899169116826,3273700
2022-10-10,467.1715393066406,474.1483138983315,463.5754661542911,473.48342232413626,2459100
2022-10-11,468.0611877441406,474.6352547130689,463.7252889119922,465.4015929669348,2844500
2022-10-12,468.20166015625,475.96507288882793,466.56282321074,470.2338305434636,2254300
2022-10-13,477.51953125,480.8533622799511,456.7578000743294,462.1051103765937,3999700
2022-10-14,480.53509521484375,496.24917073102523,479.41130986867904,486.9686963029679,5628900
2022-10-17,488.729248046875,491.0048832160374,482.5485147843173,484.85221457729756,3282300
2022-10-18,489.038330078125,498.20643161686644,485.4047898763918,498.20643161686644,2345500
2022-10-19,487.2684326171875,490.5461069140697,481.9117466154975,488.5982158990821,2500500
2022-10-20,487.7927551269531,495.79025814421493,486.76265200030775,489.8248967572728,2390800
2022-10-21,499.8265380859375,502.4487230173595,485.10512684264427,485.15193932539853,2896000
2022-10-24,507.1966552734375,511.7666742281149,503.63804894855997,503.8909163955356,2627100
2022-10-25,505.9042053222656,509.3691859538489,499.9857136365804,503.6285702472054,2411900
2022-10-26,508.6669616699219,512.8530498824874,505.8950221590656,506.99068589388094,2863500
2022-10-27,507.3839416503906,511.8041490369571,505.4735464571199,511.8041490369571,2212100
2022-10-28,516.2243041992188,517.8725152012132,509.15390425693454,510.3525667941389,2761900
2022-10-31,519.8859252929688,522.6484904143123,515.1847861698151,519.7454306917053,2770400
2022-11-01,512.5439453125,520.391638180407,509.65020216384875,519.7454658554518,3338900
2022-11-02,508.910400390625,519.3521563949006,508.57328191746825,509.8281308424738,2696200
2022-11-03,509.07891845703125,513.068324874388,503.94703603144865,507.32770873419645,2245300
2022-11-04,503.9844055175781,512.9652556897029,493.6550817466756,512.3003356585659,3513100
2022-11-07,510.3993225097656,512.2067184197632,501.45591075031797,503.9844131022537,2540300
2022-11-08,517.919189453125,519.5580260891404,507.5711181259023,512.3003209867866,2797000
2022-11-09,506.3163146972656,519.3801979538089,505.17383864738844,518.6029621460126,2672600
2022-11-10,509.6033630371094,516.6550718302586,500.0325825750913,514.0610087375935,3426400
2022-11-11,488.9165954589844,511.5793812217489,477.2761487415463,511.5793812217489,7034300
2022-11-14,481.11572265625,495.3782687570057,480.797294887313,488.84166856751824,5238400
2022-11-15,471.0578918457031,483.8220938323314,468.9601613182384,480.2353664490822,5103800
2022-11-16,479.02734375,481.4715668415562,473.3616617738685,473.75499521331994,3430800
2022-11-17,482.57659912109375,493.5052841675043,479.62666980458783,479.62666980458783,4246300
2022-11-18,496.33355712890625,499.1429923579378,486.463095267827,488.9541026880016,3566000
2022-11-21,484.337158203125,498.1595854565271,482.64213496264153,495.40633728688124,3349600
2022-11-22,489.8624572753906,491.3326779017973,486.8844059933347,486.91252777811786,2567400
2022-11-23,496.06195068359375,496.745561565526,489.77816058936475,491.65111722641774,2238300
2022-11-25,503.46942138671875,506.4942277787085,498.69340527746175,500.07937476712476,1419200
2022-11-28,498.4593200683594,505.3049741143395,497.9161466533206,501.79318051021636,2699900
2022-11-29,494.4604797363281,499.11474886159834,490.38682251082815,497.8973386575023,3751000
2022-11-30,512.96533203125,513.2650119282738,493.97352580880204,496.07122792987246,9688900
2022-12-01,502.80450439453125,517.8724643569379,501.76502727081737,517.2731045681298,2997800
2022-12-02,503.6499328613281,505.9513886681533,500.15552244518545,500.52188856973675,2346200
2022-12-05,502.5979309082031,507.61416625279946,498.69019694263346,499.26319594863287,2424800
2022-12-06,506.6183776855469,507.81138967437164,501.84638706454194,502.01546589744487,3097700
2022-12-07,509.99066162109375,512.8087568128282,506.9095740252967,508.0462263929752,2849100
2022-12-08,514.6968994140625,517.8625551520489,510.8079715506243,511.82244455797627,2272300
2022-12-09,506.5055847167969,515.2322643277373,506.19557823446456,514.7062222571993,2852400
2022-12-12,512.7617797851562,512.9684699048902,506.5807991893049,508.9949168540816,2714100
2022-12-13,505.5849609375,517.5806693417119,502.65414696679636,517.1767493052549,3369700
2022-12-14,505.7165832519531,510.5261279941016,499.33831484089774,509.070123550847,2654600
2022-12-15,495.6840515136719,501.68660683912145,493.6080344947481,501.61144159534757,2963800
2022-12-16,491.945556640625,493.9276034118358,484.4493835106872,493.30764761961416,7109100
2022-12-19,491.85150146484375,495.24265276059845,489.34341291541966,492.79086648470354,1808100
2022-12-20,488.6671142578125,495.03597949545264,488.1880289078875,495.03597949545264,2086100
2022-12-21,495.5525817871094,495.87199110796234,486.68497406682206,491.87968993588686,2182000
2022-12-22,495.12994384765625,496.93350866971423,490.00099009215376,494.5568875995566,1851600
2022-12-23,499.093994140625,499.093994140625,491.1939600614496,492.32115214497287,1292300
2022-12-27,499.7328186035156,503.3494085538985,497.7225635766394,501.55518914795863,1596700
2022-12-28,496.4075012207031,505.5193542063669,495.7311285312466,502.6260936292673,1694200
2022-12-29,497.750732421875,501.32030796674326,496.7925617717547,500.2494181029959,1379700
2022-12-30,498.0325622558594,498.3331659561555,493.01638492629485,497.8634834246228,1849600
2023-01-03,487.19232177734375,493.7584745524907,481.1051970350663,493.28879200967,3525600
2023-01-04,473.9096984863281,487.19233491573004,470.24618028695954,487.19233491573004,5070400
2023-01-05,460.25128173828125,471.64578413066266,458.87981682227644,470.6312825125423,5497100
2023-01-06,460.28887939453125,462.98485252995573,457.97804937375975,461.7824663998559,4841300
2023-01-09,460.3453063964844,469.67319592760407,458.9174816164493,462.55282034405394,3702800
2023-01-10,456.5314025878906,460.730365400354,453.41270382178436,459.2085986451376,3164000
2023-01-11,463.48272705078125,465.54934170395,455.59206607284597,455.86448997420626,4274200
2023-01-12,465.6150207519531,468.4894751029289,455.7986459081592,460.2888090621203,3726800
2023-01-13,459.88494873046875,478.60648706570095,456.5314086632594,456.63472505725355,5390100
2023-01-17,455.66717529296875,463.05059932197815,454.446012223094,461.41611334629897,4495600
2023-01-18,447.36322021484375,459.81921045184777,445.9635754075888,458.45711960775657,4398200
2023-01-19,454.9908142089844,456.8977526650644,448.4434677288126,448.89434457844015,4549600
2023-01-20,457.2077941894531,457.46141245269837,449.9558942872401,456.0899473987915,3525900
2023-01-23,456.3529052734375,460.3827891230115,452.20092805508995,457.1701482311729,3418700
2023-01-24,461.7918395996094,469.92674393730937,450.89519986933806,469.92674393730937,3036300
2023-01-25,462.63726806640625,465.3238382385013,456.2777772600616,459.6125115833269,3037300
2023-01-26,462.6184997558594,466.3477800673025,460.8336832672212,462.63727673626505,3005000
2023-01-27,456.578369140625,463.4545281574478,455.09418498149194,463.4545281574478,3177100
2023-01-30,456.3341369628906,465.2205219448703,455.40414610784796,458.2316439659463,3606900
2023-01-31,468.9216003417969,474.84899099236566,463.22905093306406,467.80375373728606,5567000
2023-02-01,466.8644104003906,473.79692876732474,465.6150675494827,469.6355486493033,3451200
2023-02-02,442.28125,464.98571669966805,435.7620826891378,464.29059571081626,11169900
2023-02-03,443.39910888671875,449.74922620358694,441.26676040726574,446.41449153006135,5440100
2023-02-06,446.4237976074219,449.92763925343485,442.4503021451959,443.3802642887562,4174200
2023-02-07,447.9643859863281,449.0916067865435,440.59036499961377,442.4784978239413,3394600
2023-02-08,453.9200134277344,455.62966482246344,446.30174741449025,446.63993376385844,3466400
2023-02-09,456.2778015136719,460.0070819534592,453.1496998061584,456.1838592741191,3664600
2023-02-10,464.2811584472656,465.60566655785544,459.11465086717465,459.47161415945146,3418100
2023-02-13,465.3145446777344,469.5604649440714,461.9422271431077,464.04639595939506,2589000
2023-02-14,462.947265625,467.7568387681251,459.4340495065765,464.31875924026224,2072600
2023-02-15,461.4630432128906,462.00786228395486,458.77647314902026,459.96005352192367,2242500
2023-02-16,457.7995910644531,464.04636329850337,457.7244258022189,461.3691670075824,2611500
2023-02-17,468.8182373046875,469.1752005653281,457.79950500739164,457.82768480864524,3891500
2023-02-21,461.5193786621094,470.997567308191,460.75849536680164,466.582569364289,2877300
2023-02-22,459.2462158203125,463.9430413031418,459.03955435238214,462.9285109452479,2982800
2023-02-23,461.87640380859375,463.4169475839469,456.40929233652315,457.1513987529538,2511800
2023-02-24,454.9626159667969,462.64664308446237,453.72267601342975,459.894281979736,2940400
2023-02-27,454.0139465332031,461.17190400090897,452.7363950916339,459.13346912251416,3006200
2023-02-28,447.0814208984375,454.05149377631705,445.1839137466976,453.4033582413699,3902100
2023-03-01,446.4050598144531,449.4016366146852,443.3803032094317,444.89266717836927,2996900
2023-03-02,448.7347412109375,451.2991897096839,444.5545548490367,446.3957025063429,2188800
2023-03-03,449.54248046875,450.04974555985024,445.46564009572705,448.9600787964814,2863300
2023-03-06,451.6279602050781,454.9815005558576,449.95589144202125,452.18218218454183,3812700
2023-03-07,445.1463317871094,454.4836230404956,443.90636299278685,453.69455980787603,2589200
2023-03-08,442.0651550292969,446.5647212055386,438.4579970301358,443.1454189977174,3036600
2023-03-09,436.7202453613281,445.21211415035964,435.6305783721346,445.21211415035964,2780400
2023-03-10,433.9580078125,441.99932900573845,431.37498967720757,436.2582242429238,3787500
2023-03-13,437.11614990234375,443.42288764435705,432.3743155874068,432.3743155874068,2971600
2023-03-14,437.9645690917969,442.923237086554,432.75137953896586,438.0305657521588,3258200
